Source,Target
Gift of Felix M. Warburg,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mrs. Frank Farley,Costume Institute
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Photographs
Bequest of Mary Anna Palmer Draper,Greek and Roman Art
Transfered from Archives,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Harry G. Sperling Fund,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
"Purchase, Mrs. Carl L. Selden Gift, in memory of Carl L. Selden",Drawings and Prints
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of the estate of Elinor S. Gimbel,Costume Institute
Gift of Mrs. Nathan E. Newman,Costume Institute
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Kihei Hattori, in memory of his father, Kihei Hattori",Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Bequest of Susan Dwight Bliss,The American Wing
Gift of Dr. and Mrs. Lewis Balamuth,Islamic Art
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",Photographs
"Edward C. Moore Collection, Bequest of Edward C. Moore",Asian Art
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Mrs. James McF. Baker,Costume Institute
Bequest of Robert Graham Dun,European Paintings
Gift of Mrs. Richard Riddell,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
"Bashford Dean Memorial Collection, Funds from various donors",Arms and Armor
Gift of Mrs. Albert Broccoli,Drawings and Prints
"Howard Hodgkin Collection, Purchase, Florence and Herbert Irving Acquisitions, 2020 Benefit, and Dodge Funds",Islamic Art
Howard S. and Nancy Marks Gift,Islamic Art
"Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest",Islamic Art
and funds from various donors,Islamic Art
Rogers Fund,Egyptian Art
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Claire Lorraine Wilson,Costume Institute
Gift of Herman A. E. and Paul C. Jaehne,Arms and Armor
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Josef and Brigitte Hatzenbuehler,Medieval Art
Rogers Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Rogers Fund,Drawings and Prints
Gift of Mr. and Mrs. H. O. Havemeyer,Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Philip van Ingen,Drawings and Prints
Gift of Kenneth Grebinar,Drawings and Prints
Walker Evans Archive,Photographs
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Robert Lehman Collection,Robert Lehman Collection
"Purchase, Jane P. Watkins Gift",Photographs
"Purchase, Edward S. Harkness Gift",Egyptian Art
Gift of Thomas L. Kempner,Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
"Rogers Fund, transferred from the Library",Drawings and Prints
"Henry L. Phillips Collection, Bequest of Henry L. Phillips",Asian Art
Rogers Fund,Drawings and Prints
Gift of Mr. and Mrs. William A. Moore,The American Wing
"Purchase, Friends of European Sculpture and Decorative Arts Gifts",European Sculpture and Decorative Arts
Gift of J. Pierpont Morgan,Medieval Art
Harris Brisbane Dick Fund,European Sculpture and Decorative Arts
Gift of Mr. and Mrs. Nathan Abrams,Photographs
Rogers Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Stephen Perlow,Drawings and Prints
"Edward C. Moore Collection, Bequest of Edward C. Moore",Islamic Art
