Id,start,end,type,departement
720805,1981,1981,Object,Drawings and Prints
49777,1995,1995,Object,Asian Art
570163,1922,1922,Object,Egyptian Art
362686,1963,1963,Object,Drawings and Prints
253719,1941,1941,Object,Greek and Roman Art
71020,1920,1920,Object,Asian Art
660407,1963,1963,Object,Drawings and Prints
299327,2011,2011,Object,Photographs
384661,1949,1949,Object,Drawings and Prints
756201,2011,2011,Object,Greek and Roman Art
560095,1930,1930,Object,Egyptian Art
545492,1919,1919,Object,Egyptian Art
348241,1967,1967,Object,Drawings and Prints
422580,1957,1957,Object,Drawings and Prints
776258,2011,2011,Object,Greek and Roman Art
374705,1934,1934,Object,Drawings and Prints
404600,1963,1963,Object,Drawings and Prints
848829,1981,1981,Object,Drawings and Prints
416542,1963,1963,Object,Drawings and Prints
240735,1874,1874,Object,Greek and Roman Art
339643,1989,1989,Object,Drawings and Prints
104649,1978,1978,Object,Costume Institute
445158,1907,1907,Object,Islamic Art
829478,1883,1883,Object,Drawings and Prints
83331,1965,1965,Object,Costume Institute
4543,1883,1883,Object,The American Wing
116418,1986,1986,Object,Costume Institute
493769,1986,1986,Object,Modern and Contemporary Art
686603,1963,1963,Object,Drawings and Prints
857914,2019,2019,Object,Drawings and Prints
644686,1965,1965,Object,Drawings and Prints
755712,1963,1963,Object,Drawings and Prints
244875,1881,1881,Object,Greek and Roman Art
53783,1919,1919,Object,Asian Art
276492,1994,1994,Object,Photographs
288486,1999,1999,Object,Photographs
727075,1969,1969,Object,Drawings and Prints
766082,2011,2011,Object,Greek and Roman Art
678353,2011,2011,Object,Greek and Roman Art
267049,1994,1994,Object,Photographs
94733,1961,1961,Object,Costume Institute
196081,1927,1927,Object,European Sculpture and Decorative Arts
174601,2009,2009,Object,Costume Institute
676408,1963,1963,Object,Drawings and Prints
485613,1990,1990,Object,Modern and Contemporary Art
40786,1909,1909,Object,Asian Art
685567,1970,1970,Object,Photographs
689327,2011,2011,Object,Greek and Roman Art
573274,1936,1936,Object,Egyptian Art
775425,1963,1963,Object,Drawings and Prints
326916,1984,1984,Object,Ancient Near Eastern Art
68915,1930,1930,Object,Asian Art
310438,1977,1977,Object,"Arts of Africa, Oceania, and the Americas"
357846,1978,1978,Object,Drawings and Prints
89239,1945,1945,Object,Costume Institute
422562,1963,1963,Object,Drawings and Prints
